series,episode,episode_title,imdb_rating,pattern,position,position_code
1,1,Melon Buffet,8.0,312,First,1
1,2,The Pie Whisperer,8.3,312,Middle,2
1,3,The Poet and the Egg,8.2,312,Middle,2
1,4,Down an Octave,8.2,312,Middle,2
1,5,Little Denim Shorts,8.1,312,Middle,2
1,6,The Last Supper,7.9,312,Last,3
2,1,Fear of Failure,8.3,231,First,1
2,2,Pork Is a Sausage,8.0,231,Middle,2
2,3,A Pistachio Éclair,8.0,231,Middle,2
2,4,Welcome to Rico Face,8.0,231,Middle,2
2,5,There's Strength in Arches,8.2,231,Last,3
3,1,Pea in a Haystack,8.1,123,First,1
3,2,The Dong and the Gong,8.2,123,Middle,2
3,3,Little Polythene Grief Cave,8.1,123,Middle,2
3,4,A Very Nuanced Character,8.0,123,Middle,2
3,5,The F.I.P.,8.1,123,Last,3
4,1,A Fat Bald White Man,8.2,213,First,1
4,2,Look at Me,8.2,213,Middle,2
4,3,Hollowing Out a Baguette,8.3,213,Middle,2
4,4,Friendship Is Truth,7.9,213,Middle,2
4,5,Meat,8.2,213,Middle,2
4,6,Spatchcock It,7.9,213,Middle,2
4,7,No Stars for Naughty Boys,8.2,213,Middle,2
4,8,Tony Three Pies,8.4,213,Last,3
5,1,Dignity Intact,7.9,123,First,1
5,2,The Leprechaun or the Lesbian,7.9,123,Middle,2
5,3,Phoenix,8.0,123,Middle,2
5,4,Residue Around the Hoof,7.8,123,Middle,2
5,5,A Wind-Dried Puffin,8.3,123,Middle,2
5,6,Spoony Neeson,8.2,123,Middle,2
5,7,Boing Boing,8.0,123,Middle,2
5,8,Their Water's So Delicious,8.8,123,Last,3
6,1,"The Old, Soft, Curved Padlock",7.5,123,First,1
6,2,Tarpeters,7.6,123,Middle,2
6,3,One Warm Prawn,7.4,123,Middle,2
6,4,BMXing!,7.5,123,Middle,2
6,5,H,7.8,123,Middle,2
6,6,We Met at Mealtimes,7.6,123,Middle,2
6,7,Roadkill Doused in Syrup,7.8,123,Middle,2
6,8,What Kind of Pictures?,7.4,123,Middle,2
6,9,The Bubble Brothers,7.8,123,Middle,2
6,10,He Was a Different Man,8.0,123,Last,3
7,1,The Mean Bean,8.3,213,First,1
7,2,My Eyes Are Circles,8.1,213,Middle,2
7,3,Twelve Blush Majesty Two,8.3,213,Middle,2
7,4,OLLIE,8.5,213,Middle,2
7,5,Lotta Soup,8.0,213,Middle,2
7,6,A Coquettish Fascinator,8.2,213,Middle,2
7,7,The Perfect Stuff,8.4,213,Middle,2
7,8,Mother Honks Her Horn,8.2,213,Middle,2
7,9,The Pendulum Draws the Eye,8.3,213,Middle,2
7,10,I Can Hear It Gooping,8.7,213,Last,3
8,1,Hello,7.7,213,First,1
8,2,A Novel About Russian Gulags,7.6,213,Middle,2
8,3,Stuck in a Mammal Groove,7.6,213,Middle,2
8,4,The Barrel Dad,7.7,213,Middle,2
8,5,Stay Humble,7.6,213,Middle,2
8,6,Rock 'n' Roll Umlaut,7.7,213,Middle,2
8,7,This Is Trevor,7.7,213,Middle,2
8,8,Aquatic Sewing Machine,7.9,213,Middle,2
8,9,I've Been a Bit Ill,7.7,213,Middle,2
8,10,Clumpy Swayey Clumsy Man,8.0,213,Last,3
9,1,Join Our Cult,7.8,123,First,1
9,2,Butter in the Microwave,8.2,123,Middle,2
9,3,Five Miles Per Day,7.8,123,Middle,2
9,4,Quisps,8.1,123,Middle,2
9,5,Another Spoon,7.9,123,Middle,2
9,6,"Bready, Bready, Bready",7.7,123,Middle,2
9,7,A Cuddle,7.8,123,Middle,2
9,8,Shaqinahat,7.8,123,Middle,2
9,9,Don't Like Them Go Bang,8.0,123,Middle,2
9,10,Think About the Spirit,8.2,123,Last,3
10,1,God's Haemorrhoid,7.6,213,First,1
10,2,A Documentary About Despots,7.4,213,Middle,2
10,3,Point of Swivel,7.7,213,Middle,2
10,4,Toshwash,7.4,213,Middle,2
10,5,I Hate Your Trainers,7.5,213,Middle,2
10,6,Hippopotamus,7.7,213,Middle,2
10,7,Legit Glass,7.5,213,Middle,2
10,8,Moments of Silence,7.3,213,Middle,2
10,9,Air Horn Andy,7.5,213,Middle,2
10,10,Dog Meat Trifle,7.6,213,Last,3
11,1,It's Not Your Fault,7.8,123,First,1
11,2,The Lure of the Treacle Puppies,7.8,123,Middle,2
11,3,Run Up a Tree to the Moon,7.5,123,Middle,2
11,4,Premature Conker,8.0,123,Middle,2
11,5,Slap and Tong,8.0,123,Middle,2
11,6,Absolute Casserole,8.5,123,Middle,2
11,7,You've Got No Chutzpah,7.9,123,Middle,2
11,8,An Orderly Species,7.9,123,Middle,2
11,9,Mr. Octopus and Pottyhands,7.8,123,Middle,2
11,10,Activate Jamali,8.3,123,Last,3
12,1,An Imbalance in the Poppability,8.1,213,First,1
12,2,Oatmeal and Death,7.7,213,Middle,2
12,3,The End of the Franchise,7.5,213,Middle,2
12,4,The Customised Inhaler,8.0,213,Middle,2
12,5,Croissants Is Croissants,8.2,213,Middle,2
12,6,A Chair in a Sweet,7.7,213,Middle,2
12,7,The Integrity of the Product,7.9,213,Middle,2
12,8,A Couple of Ethels,7.8,213,Middle,2
12,9,Nothing Matters,7.9,213,Middle,2
12,10,Caring Uncle Minpict,8.5,213,Last,3
13,1,The Noise That Blue Makes,8.1,213,First,1
13,2,Birdy Hand Finger,7.8,213,Middle,2
13,3,I Think I've Got This,7.8,213,Middle,2
13,4,Shoe Who,8.2,213,Middle,2
13,5,Having a Little Chuckle,7.9,213,Middle,2
13,6,The 75th Question,8.1,213,Middle,2
13,7,Heg,7.8,213,Middle,2
13,8,You Tuper Super,7.7,213,Middle,2
13,9,It Might Be Wind,7.9,213,Middle,2
13,10,The House Queens,8.4,213,Last,3
14,1,"The Chassis, the Wings",7.7,123,First,1
14,2,Enormous Hugeness,8.2,123,Middle,2
14,3,Dafty in the Middle,8.2,123,Middle,2
14,4,Crumbs in My Bralette,7.7,123,Middle,2
14,5,Chip Biffington,7.8,123,Middle,2
14,6,Long-Legged Lobster,7.9,123,Middle,2
14,7,The System of Endless Plates,8.0,123,Middle,2
14,8,The One That Bats Do,7.9,123,Middle,2
14,9,A New Business End,7.9,123,Middle,2
14,10,Did I Meet These Potatoes Before?,8.1,123,Last,3
15,1,The Curse of Politeness,7.7,123,First,1
15,2,Trapped in a Loveless Marriage,7.7,123,Middle,2
15,3,I Love to Squander Promise,7.6,123,Middle,2
15,4,How Heavy Is the Water?,7.9,123,Middle,2
15,5,Old Honkfoot,7.7,123,Middle,2
15,6,It's My Milk Now,7.6,123,Middle,2
15,7,Schrödinger's Egg,7.7,123,Middle,2
15,8,100% Bosco,7.8,123,Middle,2
15,9,A Show About Pedantry,7.9,123,Middle,2
15,10,A Yardstick for Failure,7.8,123,Last,3
16,1,The Natural Friends,8.0,213,First,1
16,2,Hell Is Here,7.5,213,Middle,2
16,3,Languidly,7.5,213,Middle,2
16,4,Dynamite Chicks,7.6,213,Middle,2
16,5,Skateboard Division,7.5,213,Middle,2
16,6,Brother Alex,7.5,213,Middle,2
16,7,I'm Off to Find a Robin,7.5,213,Middle,2
16,8,Never Packed a Boot,8.0,213,Middle,2
16,9,Fagin at the Disco,7.6,213,Middle,2
16,10,Always Forks and Marbles,8.1,213,Last,3
17,1,Grappling with My Life,7.5,213,First,1
17,2,Jumungo,7.4,213,Middle,2
17,3,Some Impropriety?,7.5,213,Middle,2
17,4,Apropos of Apoppo,7.4,213,Middle,2
17,5,Snooker Cue Umbrella Chin,7.3,213,Middle,2
17,6,A Three-Ring Man,7.7,213,Middle,2
17,7,Dream Date Territory,7.5,213,Middle,2
17,8,The Umbrella Wink,7.8,213,Middle,2
17,9,Assistantbury,7.3,213,Middle,2
17,10,Ambience and Information,7.7,213,Last,3
18,1,The Faceless Facilitators,7.0,123,First,1
18,2,...And Then a Detective Comes In,7.1,123,Middle,2
18,3,The Gangsters of the Sea,7.7,123,Middle,2
18,4,I'm a Girl Who Likes a Clean Line,7.2,123,Middle,2
18,5,Big Stupid Things,7.9,123,Middle,2
18,6,A Dance as Old as Time Itself,7.8,123,Middle,2
18,7,Captain Jackie and the Hotdog,7.7,123,Middle,2
18,8,The Nexus of Truth,7.8,123,Middle,2
18,9,The Cockle Children,7.6,123,Middle,2
18,10,Le Goose,7.6,123,Last,3
